population,side,stack_cell,stack,cell,Time (sec),ROI_mean_Fluo,deltaF_F,led
OviDN_activation,left,546_4,546,4,13,1660.255,-0.008236293715073685,0
OviDN_activation,left,546_4,546,4,14,1709.146,0.020969050863907362,0
OviDN_activation,left,546_4,546,4,15,1709.345,0.02108792475830959,0
OviDN_activation,left,546_4,546,4,16,1731.055,0.03405652901696009,0
OviDN_activation,left,546_4,546,4,17,1687.982,0.008326603119546305,0
OviDN_activation,left,546_4,546,4,18,1729.309,0.03301354499873784,0
OviDN_activation,left,546_4,546,4,19,1702.836,0.017199732905727547,0
OviDN_activation,left,546_4,546,4,20,1688.636,0.008717274109189667,0
OviDN_activation,left,546_4,546,4,21,1705.945,0.019056913497166667,3
OviDN_activation,left,546_4,546,4,22,1704.909,0.018438052418771472,0
OviDN_activation,left,546_4,546,4,23,1695.345,0.0127249372124272,0
OviDN_activation,left,546_4,546,4,24,1729.945,0.033393463575822194,0
OviDN_activation,left,546_4,546,4,25,1692.236,0.010867756620988076,0
OviDN_activation,left,546_4,546,4,26,1698.327,0.01450625355970013,0
OviDN_activation,left,546_4,546,4,27,1674.327,0.00016970348104460492,0
OviDN_activation,left,546_4,546,4,28,1709.873,0.02140332886004002,0
OviDN_activation,left,546_4,546,4,29,1722.327,0.028842803638355657,0
OviDN_activation,left,546_4,546,4,30,1730.327,0.03362165366457417,0
OviDN_activation,left,546_5,546,5,1,1266.8975,-0.014720267609400765,0
OviDN_activation,left,546_5,546,5,2,1275.7179,-0.007860548214912968,0
OviDN_activation,left,546_5,546,5,3,1255.4615,-0.023614167091891684,0
OviDN_activation,left,546_5,546,5,4,1264.2307,-0.016794266484873498,0
OviDN_activation,left,546_5,546,5,5,1307.4359,0.01680687953829112,0
OviDN_activation,left,546_5,546,5,6,1306.3077,0.015929466334710755,0
OviDN_activation,left,546_5,546,5,7,1305.3334,0.015171742806747171,0
OviDN_activation,left,546_5,546,5,8,1291.8975,0.004722499709790393,0
OviDN_activation,left,546_5,546,5,9,1295.7693,0.007733639970048083,0
OviDN_activation,left,546_5,546,5,10,1291.8975,0.004722499709790393,0
OviDN_activation,left,546_5,546,5,11,1283.1282,-0.002097478668296874,3
OviDN_activation,left,546_5,546,5,12,1296.1025,0.00799277317287829,0
OviDN_activation,left,546_5,546,5,13,1291.1282,0.0041242068738442965,0
OviDN_activation,left,546_5,546,5,14,1313.2051,0.02129364806700619,0
OviDN_activation,left,546_5,546,5,15,1287.7693,0.0015119544279069126,0
OviDN_activation,left,546_5,546,5,16,1321.1282,0.027455527656873688,0
OviDN_activation,left,546_5,546,5,17,1307.9231,0.017185780187807538,0
OviDN_activation,left,546_5,546,5,18,1302.641,0.013077834537539633,0
OviDN_activation,left,546_5,546,5,19,1292.9744,0.005560016354831889,0
OviDN_activation,left,546_5,546,5,20,1272.641,-0.010253486245489758,0
OviDN_activation,left,546_5,546,5,21,1278.641,-0.00558722208888388,3
OviDN_activation,left,546_5,546,5,22,1311.2051,0.019738226681470898,0
OviDN_activation,left,546_5,546,5,23,1295.5128,0.007534157177353213,0
OviDN_activation,left,546_5,546,5,24,1312.6666,0.0208748508589509,0
OviDN_activation,left,546_5,546,5,25,1288.8718,0.0023693804666832146,0
OviDN_activation,left,546_5,546,5,26,1296.7435,0.00849128572694241,0
OviDN_activation,left,546_5,546,5,27,1302.0769,0.012639127935749362,0
OviDN_activation,left,546_5,546,5,28,1287.4103,0.001232756289203387,0
OviDN_activation,left,546_5,546,5,29,1291.5128,0.004423314406282628,0
OviDN_activation,left,546_5,546,5,30,1296.9744,0.008670859125902474,0
OviDN_activation,left,547_1,547,1,1,547.9184,-0.03609797338684054,0
OviDN_activation,left,547_1,547,1,2,550.2245,-0.03204106552688799,0
OviDN_activation,left,547_1,547,1,3,568.2857,-0.0002676713808516836,0
OviDN_activation,left,547_1,547,1,4,558.1837,-0.018039183111149687,0
OviDN_activation,left,547_1,547,1,5,581.2857,0.02260202298599395,0
OviDN_activation,left,547_1,547,1,6,579.1633,0.018868281499517605,0
OviDN_activation,left,547_1,547,1,7,570.9388,0.004399681397969704,0
OviDN_activation,left,547_1,547,1,8,566.3265,-0.0037143102426612368,0
OviDN_activation,left,547_1,547,1,9,585.1224,0.029351573476553604,0
OviDN_activation,left,547_1,547,1,10,572.3062,0.006805221403910023,0
OviDN_activation,left,547_1,547,1,11,573.0612,0.008133422884446049,3
OviDN_activation,left,547_1,547,1,12,571.3062,0.005046014144921897,0
OviDN_activation,left,547_1,547,1,13,573.551,0.008995082599898539,0
OviDN_activation,left,547_1,547,1,14,585.9592,0.030823678110874938,0
OviDN_activation,left,547_1,547,1,15,575.9388,0.013195717692910332,0
OviDN_activation,left,547_1,547,1,16,586.5714,0.03190066479482752,0
OviDN_activation,left,547_1,547,1,17,585.3265,0.029710627678113152,0
OviDN_activation,left,547_1,547,1,18,584.2041,0.02773609345062493,0
OviDN_activation,left,547_1,547,1,19,586.7959,0.03229560682447022,0
OviDN_activation,left,547_1,547,1,20,578.2041,0.017180849896696177,0
OviDN_activation,left,547_1,547,1,21,596.3674,0.049133859103875084,3
OviDN_activation,left,547_1,547,1,22,580.7959,0.021740363270541463,0
OviDN_activation,left,547_1,547,1,23,570.0408,0.0028199132793983233,0
OviDN_activation,left,547_1,547,1,24,567.9388,-0.0008779403789946734,0
OviDN_activation,left,547_1,547,1,25,582.4081,0.024576557213482172,0
OviDN_activation,left,547_1,547,1,26,586.1021,0.031075068828184237,0
OviDN_activation,left,547_1,547,1,27,591.8776,0.041235370352470296,0
OviDN_activation,left,547_1,547,1,28,589.7755,0.037537340773351247,0
OviDN_activation,left,547_1,547,1,29,577.7551,0.016390965837410388,0
OviDN_activation,left,547_1,547,1,30,600.2245,0.05591929742251829,0
OviDN_activation,left,547_2,547,2,1,617.242,-0.06670517329494781,0
OviDN_activation,left,547_2,547,2,2,645.303,-0.0242758082611839,0
OviDN_activation,left,547_2,547,2,3,632.788,-0.04319899358592479,0
OviDN_activation,left,547_2,547,2,4,664.061,0.004087045140453392,0
OviDN_activation,left,547_2,547,2,5,651.636,-0.01470005655031026,0
OviDN_activation,left,547_2,547,2,6,667.909,0.009905376513174302,0
OviDN_activation,left,547_2,547,2,7,686.939,0.038679504897498634,0
OviDN_activation,left,547_2,547,2,8,665.061,0.005599085517979633,0
OviDN_activation,left,547_2,547,2,9,676.697,0.023193187350874927,0
OviDN_activation,left,547_2,547,2,10,679.151,0.02690373443732425,0
OviDN_activation,left,547_2,547,2,11,688.151,0.04051209783506042,3
OviDN_activation,left,547_2,547,2,12,649.697,-0.01763190284233359,0
OviDN_activation,left,547_2,547,2,13,702.0,0.06145234502342141,0
OviDN_activation,left,547_2,547,2,14,701.849,0.061224026926415015,0
OviDN_activation,left,547_2,547,2,15,705.697,0.06704235829913592,0
OviDN_activation,left,547_2,547,2,16,708.151,0.07075290538558525,0
OviDN_activation,left,547_2,547,2,17,706.515,0.06827920732795237,0
OviDN_activation,left,547_2,547,2,18,694.697,0.050409914146347275,0
OviDN_activation,left,547_2,547,2,19,696.606,0.053296399227044856,0
OviDN_activation,left,547_2,547,2,20,698.758,0.05655031011948139,0
OviDN_activation,left,547_2,547,2,21,701.273,0.060353091668959864,3
OviDN_activation,left,547_2,547,2,22,674.273,0.01952800147575135,0
OviDN_activation,left,547_2,547,2,23,675.97,0.02209393399641339,0
OviDN_activation,left,547_2,547,2,24,696.97,0.05384678192446445,0
OviDN_activation,left,547_2,547,2,25,690.061,0.043400094956135664,0
OviDN_activation,left,547_2,547,2,26,742.849,0.12321768240499091,0
OviDN_activation,left,547_2,547,2,27,794.849,0.20184378203635545,0
OviDN_activation,left,547_2,547,2,28,774.03,0.17036461341663653,0
OviDN_activation,left,547_2,547,2,29,776.394,0.17393907686910862,0
OviDN_activation,left,547_2,547,2,30,790.0,0.19451189824573065,0
OviDN_activation,left,547_3,547,3,1,846.975,0.0034573286481684312,0
OviDN_activation,left,547_3,547,3,2,823.45,-0.024414017798241604,0
OviDN_activation,left,547_3,547,3,3,845.25,0.0014136273678259023,0
OviDN_activation,left,547_3,547,3,4,856.275,0.014475544246536649,0
OviDN_activation,left,547_3,547,3,5,827.825,-0.019230717449546852,0
OviDN_activation,left,547_3,547,3,6,841.775,-0.0027033940519945268,0
OviDN_activation,left,547_3,547,3,7,832.3,-0.013928941664310614,0
OviDN_activation,left,547_3,547,3,8,843.525,-0.0006300739125166264,0
OviDN_activation,left,547_3,547,3,9,845.525,0.0017394348183152597,0
OviDN_activation,left,547_3,547,3,10,850.825,0.008018632955019839,0
OviDN_activation,left,547_3,547,3,11,870.9,0.03180257684074481,3
OviDN_activation,left,547_3,547,3,12,857.775,0.016252675794660564,0
OviDN_activation,left,547_3,547,3,13,851.725,0.00908491188389416,0
OviDN_activation,left,547_3,547,3,14,839.225,-0.005724517683805128,0
OviDN_activation,left,547_3,547,3,15,824.825,-0.02278498054579468,0
OviDN_activation,left,547_3,547,3,16,837.625,-0.007620124668470664,0
OviDN_activation,left,547_3,547,3,17,850.225,0.0073077803357702465,0
OviDN_activation,left,547_3,547,3,18,828.925,-0.017927487647589422,0
OviDN_activation,left,547_3,547,3,19,844.125,8.077870673296644e-05,0
OviDN_activation,left,547_3,547,3,20,847.225,0.003753517239522417,0
OviDN_activation,left,547_3,547,3,21,831.1,-0.015350646902809665,3
OviDN_activation,left,547_3,547,3,22,829.725,-0.016979684155256587,0
OviDN_activation,left,547_3,547,3,23,817.425,-0.03155216284987277,0
OviDN_activation,left,547_3,547,3,24,844.225,0.00019925414327458767,0
OviDN_activation,left,547_3,547,3,25,823.175,-0.024739825248731095,0
OviDN_activation,left,547_3,547,3,26,795.0,-0.05812027949432524,0
OviDN_activation,left,547_3,547,3,27,784.025,-0.07112295865476524,0
OviDN_activation,left,547_3,547,3,28,793.7,-0.05966046016936591,0
OviDN_activation,left,547_3,547,3,29,783.4,-0.0718634301331502,0
OviDN_activation,left,547_3,547,3,30,786.25,-0.06848688019171474,0
OviDN_activation,left,547_4,547,4,1,761.7792,-0.002405753770426541,0
OviDN_activation,left,547_4,547,4,2,765.7922,0.0028495035405098983,0
OviDN_activation,left,547_4,547,4,3,749.4675,-0.018528642241658906,0
OviDN_activation,left,547_4,547,4,4,758.2598,-0.007014613122559373,0
OviDN_activation,left,547_4,547,4,5,774.3246,0.014023178466957437,0
OviDN_activation,left,547_4,547,4,6,760.3246,-0.004310637220336241,0
OviDN_activation,left,547_4,547,4,7,755.5714,-0.010535229557825113,0
OviDN_activation,left,547_4,547,4,8,765.5844,0.0025773773333798984,0
OviDN_activation,left,547_4,547,4,9,763.7013,0.00011134816761254374,0
OviDN_activation,left,547_4,547,4,10,767.4805,0.005060430756571213,0
OviDN_activation,left,547_4,547,4,11,777.4935,0.018173037647776374,3
OviDN_activation,left,547_4,547,4,12,787.1039,0.030758416382145343,0
OviDN_activation,left,547_4,547,4,13,773.3117,0.012696726901981663,0
OviDN_activation,left,547_4,547,4,14,777.0649,0.017611760976092412,0
OviDN_activation,left,547_4,547,4,15,773.1688,0.012509591026145008,0
OviDN_activation,left,547_4,547,4,16,772.1818,0.011217057020190699,0
OviDN_activation,left,547_4,547,4,17,780.0,0.02145544543493358,0
OviDN_activation,left,547_4,547,4,18,787.5974,0.0314046833851225,0
OviDN_activation,left,547_4,547,4,19,795.8701,0.042238266030570654,0
OviDN_activation,left,547_4,547,4,20,785.8052,0.029057693065496257,0
OviDN_activation,left,547_4,547,4,21,782.6104,0.024873916325655856,3
OviDN_activation,left,547_4,547,4,22,778.6883,0.019737697860860534,0
OviDN_activation,left,547_4,547,4,23,770.5585,0.009091251091249032,0
OviDN_activation,left,547_4,547,4,24,777.3766,0.018019950286787486,0
OviDN_activation,left,547_4,547,4,25,795.2208,0.041387969850159335,0
OviDN_activation,left,547_4,547,4,26,760.1299,-0.004565608214215977,0
OviDN_activation,left,547_4,547,4,27,762.6104,-0.0013172489419065422,0
OviDN_activation,left,547_4,547,4,28,773.1688,0.012509591026145008,0
OviDN_activation,left,547_4,547,4,29,765.9351,0.0030366394163467026,0
OviDN_activation,left,547_4,547,4,30,762.4935,-0.001470336302895427,0
OviDN_activation,left,547_5,547,5,1,692.623,-0.03970231331718724,0
OviDN_activation,left,547_5,547,5,2,712.156,-0.012620488552524088,0
OviDN_activation,left,547_5,547,5,3,698.26,-0.0318868089810174,0
OviDN_activation,left,547_5,547,5,4,734.065,0.017755577528928368,0
OviDN_activation,left,547_5,547,5,5,723.506,0.003115891475066601,0
